CODUSU;nro_hogar;realizada;ano4;trimestre;region;mas_500;aglomerado;pondera;iv1;iv1_esp;iv2;iv3;iv3_esp;iv4;iv5;iv6;iv7;iv7_esp;iv8;iv9;iv10;iv11;iv12_1;iv12_2;iv12_3;ii1;ii2;ii3;ii3_1;ii4_1;ii4_2;ii4_3;ii5;ii5_1;ii6;ii6_1;ii7;ii7_esp;ii8;ii8_esp;ii9;v1;v2;v21;v22;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19_a;v19_b;ix_tot;ix_men10;ix_mayeq10;itf;decifr;idecifr;rdecifr;gdecifr;pdecifr;adecifr;ipcf;deccfr;ideccfr;rdeccfr;gdeccfr;pdeccfr;adeccfr;vii1_1;vii1_2;vii2_1;vii2_2;vii2_3;vii2_4;idimph
393412;1;1;2015;2;42;S;10;422;1; ;5;1; ;1;1;1;1; ;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;1; ;1; ;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;12000;6;6;6;6; ;6;6000,00;8;8;8;8; ;8;1;2;98;0;0;0;0
393415;2;1;2015;2;41;N;7;227;1; ;2;2; ;4;2;1;1; ;1;2;3;4;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1; ;2; ;1;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;1820;1;1;1; ;1;1;606,67;1;1;1; ;1;1;2;0;98;0;0;0;0
393421;1;1;2015;2;43;N;30;101;1; ;3;1; ;1;1;1;1; ;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1; ;1; ;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;13500;7;7;7; ;7;7;4500,00;6;7;6; ;7;5;2;0;98;0;0;0;0
393425;1;1;2015;2;44;N;31;93;2; ;4;1; ;4;1;1;1; ;1;1;1;1;2;2;2;4;4;2;0;1;2;2;2;0;2;0;1; ;1; ;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;42000;10;10;10; ;10;9;10500,00;10;10;9; ;10;7;2;4;98;0;0;0;0
393426;1;1;2015;2;44;N;9;193;1; ;1;2; ;4;1;2;1; ;1;1;2;3;2;2;2;1;1;2;0;1;2;2;2;0;2;0;7; ;2; ;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;6000;3;3;2; ;3;2;1500,00;2;2;1; ;2;1;2;0;98;0;0;0;0
393429;2;1;2015;2;40;S;23;224;2; ;4;1; ;3;1;1;1; ;1;1;1;1;2;2;2;4;1;2;0;1;1;2;2;0;2;0;3; ;1; ;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;1;2;10500;6;6;6;6; ;6;3500,00;5;5;6;5; ;6;2;0;98;0;0;0;0
393434;1;1;2015;2;40;N;25;92;1; ;2;1; ;1;1;1;1; ;1;1;1;1;2;2;2;2;2;2;0;1;1;1;2;0;2;0;8; ;2; ;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;1;2;5500;2;3;3; ;3;2;1833,33;2;2;3; ;3;2;1;0;98;0;0;0;0
393437;1;1;2015;2;1;S;33;1507;2; ;1;2; ;4;1;1;2; ;1;1;2;3;2;2;2;1;1;2;0;2;2;2;0;0;0;0;3; ;2; ;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;8000;4; ;4;4; ;4;2666,67;4; ;4;4; ;4;1;0;2;3;0;0;0
393440;1;1;2015;2;42;N;27;222;1; ;4;1; ;1;1;1;1; ;1;1;1;2;2;2;2;4;2;2;0;1;1;1;2;0;2;0;1; ;1; ;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;5000;2;2;2; ;2;2;2500,00;3;3;4; ;4;4;2;0;98;0;0;0;10000
393443;1;1;2015;2;42;S;10;467;1; ;2;2; ;1;1;1;1; ;1;1;1;2;2;2;2;2;2;2;0;1;1;2;2;0;2;0;1; ;1; ;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;2;2;10300;6;6;6;5; ;6;2575,00;4;4;4;3; ;3;2;1;98;0;0;0;0
393444;2;1;2015;2;43;N;3;203;2; ;1;1; ;2;1;1;1; ;1;2;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;1; ;1; ;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;3000;1;1;1; ;1;1;3000,00;4;4;4; ;4;3;1;0;98;0;0;0;0
393445;1;1;2015;2;42;N;26;121;1; ;4;1; ;4;1;1;1; ;1;1;1;1;2;2;2;4;3;2;0;1;1;2;2;0;2;0;1; ;1; ;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;4;2;2;12200;6;7;6; ;7;6;3050,00;4;4;4; ;5;5;2;0;98;0;0;0;0
393447;1;1;2015;2;1;S;33;1459;1; ;2;1; ;1;1;1;1; ;1;1;1;2;2;2;2;2;1;2;0;1;2;2;2;0;2;0;4; ;1; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;1;0;1;3700;1; ;1;1; ;1;3700,00;5; ;5;5; ;6;96;0;98;0;0;0;0
393452;1;1;2015;2;1;S;32;2187;2; ;2;1; ;9;1;1;1; ;1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1; ;1; ;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;19000;9; ;8;9; ;8;9500,00;9; ;9;9; ;8;2;1;98;0;0;0;0
393463;1;1;2015;2;43;S;5;333;1; ;3;1; ;4;1;1;1; ;1;1;1;3;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1; ;2; ;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;5500;2;2;3;2; ;2;1375,00;2;2;1;1; ;1;2;0;98;0;0;0;0
