CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4
TQRMNORUTHJMLPCDEFIAH00498017;2017;1;1;1;43;S;2;534;2;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;2;1;1;2;2;2;0;0;0;0;2;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;0;3;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;2;98;0;0;0
TQSMNOQSXHKMLMCDEFIAH00469221;2017;1;1;1;43;S;2;551;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;11000;3;3;3;3;  ;3;11000;8;8;8;8;  ;8;1015;1;0;98;0;0;0
TQRMNOPVVHKOLOCDEFIAH00469258;2017;1;1;1;43;S;2;830;1;;2;2;;4;2;1;1;;1;1;1;2;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;11000;3;3;3;3;  ;3;5500;4;4;4;4;  ;4;1517;1;0;98;0;0;0
TQRMNOPVYHKOLOCDEFIAH00469262;2017;1;1;1;43;S;2;830;1;;3;1;;4;1;1;1;;1;1;1;3;2;2;2;3;3;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;7;2;5;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;0;4;0;0;0
TQRMNOPSUHJNLRCDEFIAH00497935;2017;1;1;1;43;S;2;530;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;4;1;3;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;2;98;0;0;0
TQRMNOSQUHLMKPCDEFIAH00497959;2017;1;1;1;43;S;2;565;1;;3;4;NO ESPECIFICA;6;1;1;1;;1;1;1;1;1;1;1;3;3;2;0;1;1;1;2;0;2;0;2;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;4;0;4;21000;6;7;7;6;  ;7;5250;4;4;4;4;  ;4;1753;2;0;1;0;0;0
TQRMNOQRUHLOKRCDEFIAH00498011;2017;1;1;1;43;S;2;711;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;14500;4;4;4;4;  ;5;7250;6;6;6;6;  ;6;1566;2;0;1;0;0;0
TQRMNOSRUHLOKRCDEFIAH00498019;2017;1;1;1;43;S;2;711;1;;2;1;;4;2;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;0;5;23500;7;7;7;7;  ;8;4700;4;4;3;3;  ;3;1573;1;2;98;0;0;0
TQRMNOPTVHJMKQCDEFIAH00498163;2017;1;1;1;43;S;2;536;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;2;0;98;0;0;0
TQRMNOQXXHJMKQCDEFIAH00498102;2017;1;1;1;43;S;2;536;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;2;0;98;0;0;0
TQRMNORXWHJMKQCDEFIAH00498162;2017;1;1;1;43;S;2;536;1;;2;2;;1;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;0;98;0;0;0
TQRMNOQRQHKKKPCDEFIAH00469168;2017;1;1;1;43;S;2;953;2;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;1;2;2;0;2;0;3;;1;;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;3;0;3;15000;4;5;5;4;  ;5;5000;4;4;4;4;  ;4;1746;1;2;3;0;0;0
TQRMNOPQUHKNLPCDEFIAH00469255;2017;1;1;1;43;S;2;588;1;;3;2;;4;2;1;1;;1;1;1;2;2;2;2;3;1;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;10000;3;3;3;3;  ;3;5000;4;4;4;4;  ;3;1124;2;0;98;0;0;0
TQRMNORUTHKMLNCDEFIAH00469229;2017;1;1;1;43;S;2;555;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;29000;8;8;8;8;  ;9;14500;9;9;9;9;  ;9;1267;96;0;1;0;0;0
TQRMNORUXHKLKRCDEFIAH00469176;2017;1;1;1;43;S;2;911;2;;1;1;;9;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;10000;3;3;3;3;  ;3;5000;4;4;4;4;  ;4;1625;1;2;98;0;0;0
TQRMNOPWVHJLLLCDEFIAH00498012;2017;1;1;1;43;S;2;1022;2;;2;1;;9;1;1;1;;1;1;1;2;2;2;2;2;1;1;1;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;0;2;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;2;98;0;0;0
TQRMNOPWYHJLLLCDEFIAH00507987;2017;1;1;1;43;S;2;1022;2;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;0;2;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;2;98;0;0;0
TQRMNOPYVHLKLMCDEFIAH00507988;2017;1;1;1;43;S;2;568;2;;1;1;;9;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;;1;;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;0;98;0;0;0
TQRMNOPYXHLKLMCDEFIAH00507989;2017;1;1;1;43;S;2;568;2;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;3;;1;;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2;2;2;2;2;2;1;0;1;5000;1;1;1;1;  ;1;5000;4;4;3;4;  ;3;568;1;0;98;0;0;0
TQRMNORPXHMMLMCDEFIAH00507990;2017;1;1;1;43;S;2;520;2;;1;1;;9;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;6;;1;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;97;0;98;0;0;0
TQRMNOQXSHLMLNCDEFIAH00497934;2017;1;1;1;43;S;2;486;2;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;1;1;1;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;2;1;1;18800;6;6;6;6;  ;6;9400;7;7;7;7;  ;7;957;1;0;98;0;0;0
TQRMNORWUHLMLOCDEFIAH00497922;2017;1;1;1;43;S;2;514;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;1;2;0;1;1;2;2;0;2;0;6;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;1;2;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;2;98;0;0;0
TQRMNORPRHJOLNCDEFIAH00498113;2017;1;1;1;43;S;2;829;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;4;0;4;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;2;98;0;0;0
TQRMNOPTQHLOLRCDEFIAH00507991;2017;1;1;1;43;S;2;779;1;;3;1;;4;1;1;1;;1;1;1;3;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;5;0;5;8000;2;2;2;2;  ;2;1600;1;1;1;1;  ;1;1177;1;0;98;0;0;0
TQSMNORXVHKOLOCDEFIAH00469264;2017;1;1;1;43;S;2;830;1;;2;1;;4;2;1;1;;1;1;1;2;2;2;2;3;2;1;1;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;1;4;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;0;98;0;0;0
TQRMNORXYHMOLRCDEFIAH00507992;2017;1;1;1;43;S;2;1295;2;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;12000;3;4;4;3;  ;4;12000;8;8;8;8;  ;9;1566;1;0;98;0;0;0
TQRMNOQQTHLMLTCDEFIAH00498131;2017;1;1;1;43;S;2;493;1;;3;1;;3;1;1;1;;1;1;1;1;2;2;2;13;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;55000;10;10;10;10;  ;10;13750;8;9;9;8;  ;9;1597;1;2;98;0;0;0
TQRMNOPYYHJMLUCDEFIAH00497961;2017;1;1;1;43;S;2;533;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;3;;1;;1;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;2;2;2;2;1;0;1;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;0;98;0;0;0
TQRMNOQVTHKMLSCDEFIAH00469237;2017;1;1;1;43;S;2;512;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;2;2;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;2;98;0;0;0
TQRMNOPSQHLOKMCDEFIAH00498075;2017;1;1;1;43;S;2;758;1;;2;1;;4;2;1;1;;1;1;1;2;2;1;2;2;2;2;0;1;2;1;2;0;2;0;1;;2;;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;2;3;4;0;0
TQRMNORYWHMOKNCDEFIAH00507993;2017;1;1;1;43;S;2;831;1;;2;1;;4;1;1;1;;1;1;1;3;2;2;2;2;1;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;0;98;0;0;0
TQRMNOQQYHLMKPCDEFIAH00497926;2017;1;1;1;43;S;2;565;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;2;0;98;0;0;0
TQRMNOQRQHMLKPCDEFIAH00507994;2017;1;1;1;43;S;2;878;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;5500;1;1;1;1;  ;1;5500;4;4;4;4;  ;4;1401;1;0;98;0;0;0
TQRMNOQQUHLMLOCDEFIAH00497984;2017;1;1;1;43;S;2;514;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;0;98;0;0;0
TQRMNOQVSHKMLSCDEFIAH00469236;2017;1;1;1;43;S;2;512;1;;2;1;;2;2;1;1;;1;1;1;3;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;2;0;98;0;0;0
TQRMNOPVVHKMLNCDEFIAH00469223;2017;1;1;1;43;S;2;555;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;4;1;3;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;0;2;0;0;0
TQRMNOTQXHMOLQCDEFIAH00507995;2017;1;1;1;43;S;2;644;2;;1;1;;9;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;0;98;0;0;0
TQTMNOPQTHKNLPCDEFIAH00469254;2017;1;1;1;43;S;2;588;1;;4;1;;4;1;1;1;;1;1;1;3;2;2;2;4;2;2;0;1;2;2;2;0;2;0;6;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;2;98;0;0;0
TQRMNOSXYHKMLSCDEFIAH00469241;2017;1;1;1;43;S;2;512;1;;6;1;;4;1;1;1;;1;1;1;1;2;2;2;6;5;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;5;0;5;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;0;2;0;0;0
TQRMNOPRQHKOLTCDEFIAH00469268;2017;1;1;1;43;S;2;503;1;;2;1;;4;1;1;2;;1;1;1;2;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;10000;3;3;3;2;  ;3;5000;4;4;4;4;  ;3;918;1;2;98;0;0;0
TQRMNOPRXHMMLUCDEFIAH00507996;2017;1;1;1;43;S;2;582;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;3;0;3;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;2;1;3;0;0;0
TQRMNOPVRHKOMLCDEFIAH00469280;2017;1;1;1;43;S;2;861;1;;3;1;;4;1;1;1;;1;1;1;2;2;2;2;3;3;2;0;1;2;2;2;0;2;0;2;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;5;1;4;8000;2;2;2;2;  ;2;1600;1;1;1;1;  ;1;1997;2;1;3;4;0;0
TQRMNOQUSHKOMLCDEFIAH00469285;2017;1;1;1;43;S;2;861;1;;1;2;;4;2;2;1;;1;1;2;3;2;2;2;1;1;2;0;1;2;2;2;0;2;0;2;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;3000;1;1;1;1;  ;1;3000;2;2;2;2;  ;2;1181;1;0;98;0;0;0
TQRMNOQQSHJMKTCDEFIAH00497971;2017;1;1;1;43;S;2;510;1;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;0;98;98;0;0
TQRMNOQVPHMLKRCDEFIAH00507997;2017;1;1;1;43;S;2;1095;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;60000;10;10;10;10;  ;10;60000;10;10;10;10;  ;10;1680;1;0;96;0;0;0
TQRMNOPQSHMMKTCDEFIAH00507998;2017;1;1;1;43;S;2;578;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;6;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;11200;3;3;3;3;  ;4;5600;4;5;4;4;  ;4;1453;1;0;98;0;0;0
TQRMNOQRPHMMLLCDEFIAH00507999;2017;1;1;1;43;S;2;531;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;0;5;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;2;98;0;0;0
TQRMNORSPHJMLOCDEFIAH00498104;2017;1;1;1;43;S;2;528;1;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;6;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;2;98;0;0;0
TQRMNORWQHLMLOCDEFIAH00497985;2017;1;1;1;43;S;2;514;1;;3;1;;3;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;1;1;2;0;2;0;6;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;36000;9;9;9;9;  ;9;9000;7;7;7;7;  ;7;1820;1;2;98;0;0;0
TQRMNOPYXHJOLTCDEFIAH00497989;2017;1;1;1;43;S;2;661;2;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;7;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;25000;7;7;7;7;  ;8;12500;8;9;8;8;  ;9;1147;96;0;98;0;0;0
TQRMNORTXHMOLTCDEFIAH00508000;2017;1;1;1;43;S;2;1137;1;;1;2;;4;2;1;1;;1;2;2;3;2;2;2;1;1;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;0;2;0;0;0
TQRMNORTSHJMLUCDEFIAH00497917;2017;1;1;1;43;S;2;533;1;;1;2;;4;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;1;1;2;0;2;0;4;;2;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;2;98;0;0;0
TQRMNORTUHJMLUCDEFIAH00497921;2017;1;1;1;43;S;2;533;1;;3;1;;3;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;1;2;2;0;1;1;1;;1;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;2;98;0;0;0
TQRMNOQUQHKLLRCDEFIAH00469184;2017;1;1;1;43;S;2;888;1;;5;1;;3;1;1;1;;1;1;1;1;2;2;2;5;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;0;98;0;0;0
TQRMNOQQYHLMMLCDEFIAH00497944;2017;1;1;1;43;S;2;504;1;;3;2;;4;1;1;2;;1;1;1;3;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;;2;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;31000;8;8;8;8;  ;9;15500;9;9;9;9;  ;10;1322;1;2;98;0;0;0
TQRMNOQURHKOMLCDEFIAH00469284;2017;1;1;1;43;S;2;861;1;;3;2;;4;2;1;1;;1;1;2;2;2;2;2;3;3;2;0;1;2;2;2;0;2;0;2;;2;;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;13;4;9;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;3;4;10;0;0
TQRMNOQUTHKOMLCDEFIAH00469286;2017;1;1;1;43;S;2;861;1;;1;1;;4;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;2;1;98;0;0;0
TQRMNORWSHLMLOCDEFIAH00497956;2017;1;1;1;43;S;2;514;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;9500;2;2;2;2;  ;2;9500;7;7;7;7;  ;8;1196;1;0;98;0;0;0
TQRMNOQRVHMMLNCDEFIAH00508001;2017;1;1;1;43;S;2;503;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;2;0;3;0;0;0
TQRMNORYXHKKKQCDEFIAH00508002;2017;1;1;1;43;S;2;919;2;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2;2;2;0;2;19000;6;6;6;6;  ;6;9500;7;7;7;7;  ;8;1760;96;0;2;0;0;0
TQRMNORRUHJLKUCDEFIAH00498010;2017;1;1;1;43;S;2;888;2;;1;1;;1;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;1;2;2;2;2;2;0;2;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;2;98;0;0;0
TQRMNOQUSHJOMMCDEFIAH00498029;2017;1;1;1;43;S;2;794;1;;3;2;;2;2;1;1;;1;1;1;3;2;2;2;3;2;2;0;1;2;2;1;2;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;1;2;6000;1;1;1;1;  ;1;2000;1;1;1;1;  ;1;1578;2;0;98;0;0;0
TQRMNOQQWHLLKTCDEFIAH00497900;2017;1;1;1;43;S;2;1141;1;;8;1;;4;1;1;1;;1;1;1;1;2;2;2;8;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;21000;6;7;7;6;  ;7;21000;10;10;10;10;  ;10;2137;1;0;98;0;0;0
TQRMNORUPHJKLMCDEFIAH00498154;2017;1;1;1;43;S;2;946;1;;1;1;;1;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;2;98;0;0;0
TQUMNOQVQHKMKTCDEFIAH00508003;2017;1;1;1;43;S;2;579;2;;1;1;;2;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;0;1;0;0;0;0;0;  ;0;0;0;0;0;0;  ;0;1143;1;0;98;0;0;0
TQRMNOTRXHKMKTCDEFIAH00469206;2017;1;1;1;43;S;2;579;2;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;2;0;1;0;0;0
TQRMNOPVTHMMLMCDEFIAH00508004;2017;1;1;1;43;S;2;520;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;0;2;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;1;0;98;0;0;0
TQRMNORSUHKMKUCDEFIAH00469211;2017;1;1;1;43;S;2;581;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;0;4;0;12;12;12;12;  ;12;0;12;12;12;12;  ;12;0;2;1;3;4;0;0
