CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4
TQRMNOQPSHMKSRCDEIJAH00512378;2017;1;1;1;1;S;33;743;2;;2;1;;1;2;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;2;1;1;18000;5;  ;5;5;  ;6;9000;7;  ;6;7;  ;7;923;1;0;98;0;0;0
TQRMNORRPHKORSCDEIJAH00482968;2017;1;1;1;1;S;33;843;1;;2;1;;2;1;1;1;;1;1;1;2;2;1;2;2;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;12800;4;  ;3;4;  ;4;6400;5;  ;5;5;  ;6;1177;1;0;98;0;0;0
TQRMNOPRUHLOTOCDEIJAH00512379;2017;1;1;1;1;S;33;540;1;;2;2;;4;1;1;1;;1;1;1;3;2;2;2;2;1;2;0;2;2;2;0;0;0;0;2;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;12;  ;12;12;  ;12;0;12;  ;12;12;  ;12;0;1;0;98;0;0;0
TQRMNOQRSHMOTLCDEIJAH00512380;2017;1;1;1;1;S;33;1341;1;;3;2;;2;2;1;1;;1;1;1;4;1;2;1;3;3;2;0;1;2;2;2;0;2;0;2;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;5;0;5;14000;4;  ;4;4;  ;4;2800;2;  ;2;2;  ;2;2252;2;5;3;4;0;0
TQRMNORQVHKNRUCDEIJAH00485124;2017;1;1;1;1;S;33;466;1;;3;1;;2;1;1;1;;1;1;1;1;2;1;2;3;3;2;0;1;2;2;2;0;2;0;4;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;5;0;5;31500;8;  ;8;8;  ;8;6300;5;  ;5;5;  ;6;672;2;0;3;4;0;0
TQRMNORRPHKNRUCDEIJAH00485126;2017;1;1;1;1;S;33;466;1;;3;1;;4;2;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;4;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;5;2;3;46050;10;  ;9;9;  ;10;9210;7;  ;7;7;  ;8;739;2;0;1;0;0;0
TQRMNOSSQHJKTMCDEIJAH00506000;2017;1;1;1;1;S;33;1364;1;;5;4;no sabe;3;1;1;1;;1;1;1;1;2;2;2;5;2;1;1;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;60000;10;  ;10;10;  ;10;20000;10;  ;10;10;  ;10;3332;96;0;2;0;0;0
TQRMNOPWUHJLTNCDEIJAH00505685;2017;1;1;1;1;S;33;1515;2;;2;1;;3;1;1;1;;1;1;1;1;2;2;2;2;1;1;1;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;2;1;12000;3;  ;3;3;  ;4;4000;3;  ;3;3;  ;3;1755;1;0;97;0;0;0
TQRMNOQUVHKLSLCDEIJAH00484493;2017;1;1;1;1;S;33;1683;2;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;1;1;1;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;26000;7;  ;7;7;  ;8;26000;10;  ;10;10;  ;10;2805;1;0;96;0;0;0
TQRMNORXPHJLTOCDEIJAH00505987;2017;1;1;1;1;S;33;1547;1;;4;1;;3;1;1;1;;1;1;1;1;2;2;2;4;3;1;1;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;4;0;4;0;12;  ;12;12;  ;12;0;12;  ;12;12;  ;12;0;1;2;3;4;0;0
TQRMNOQUPHLOOSCDEIJAH00505546;2017;1;1;1;1;S;33;2110;1;;2;1;;2;2;1;1;;1;1;1;3;2;2;2;2;1;2;0;1;1;2;2;0;2;0;6;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;2;3;0;12;  ;12;12;  ;12;0;12;  ;12;12;  ;12;0;2;0;1;0;0;0
TQRMNORRPHMNSMCDEIJAH00512381;2017;1;1;1;1;S;33;485;1;;3;2;;4;2;1;1;;1;1;2;2;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;1;4;30300;8;  ;8;8;  ;8;6060;5;  ;5;5;  ;6;735;3;0;98;0;0;0
TQRMNORVVHMOSQCDEIJAH00512382;2017;1;1;1;1;S;33;1815;1;;3;1;;4;1;1;1;;1;1;1;3;1;1;2;3;2;2;0;1;2;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;4;0;4;17500;5;  ;5;5;  ;5;4375;3;  ;3;3;  ;4;2782;1;0;98;0;0;0
TQRMNOPWXHJKKMCDEIJAH00505552;2017;1;1;1;1;S;33;1480;1;;5;1;;2;1;1;1;;1;1;1;1;2;2;2;5;2;2;0;1;1;2;2;0;2;0;1;;4;electricidad;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;0;3;0;12;  ;12;12;  ;12;0;12;  ;12;12;  ;12;0;2;0;96;0;0;0
TQRMNOTVQHKMKNCDEIJAH00483560;2017;1;1;1;1;S;33;1698;1;;2;1;;3;1;1;1;;1;1;1;3;2;2;2;2;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;11000;3;  ;3;3;  ;3;11000;8;  ;7;8;  ;8;1732;96;0;98;0;0;0
TQRMNOPWWHJMKOCDEIJAH00505214;2017;1;1;1;1;S;33;1607;1;;3;1;;3;1;1;1;;1;1;1;2;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;4;0;4;0;12;  ;12;12;  ;12;0;12;  ;12;12;  ;12;0;2;3;98;0;0;0
TQRMNOQXWHJMKOCDEIJAH00505206;2017;1;1;1;1;S;33;1607;1;;2;1;;4;2;1;1;;1;1;1;2;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;5600;1;  ;1;1;  ;1;5600;4;  ;4;4;  ;5;2066;1;0;98;0;0;0
TQRMNOQSPHKMKPCDEIJAH00483563;2017;1;1;1;1;S;33;1720;1;;4;1;;3;1;1;2;;1;1;1;2;2;2;2;4;1;2;0;1;1;1;2;0;2;0;3;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;9300;2;  ;2;2;  ;3;9300;7;  ;7;7;  ;8;1596;1;0;98;0;0;0
TQRMNORXSHJOKPCDEIJAH00512383;2017;1;1;1;1;S;33;1914;1;;3;1;;2;1;1;2;;1;1;1;3;2;2;2;3;1;2;0;1;2;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;35000;9;  ;9;9;  ;9;17500;9;  ;9;9;  ;10;3324;1;2;98;0;0;0
TQRMNOQRVHMMKPCDEIJAH00512384;2017;1;1;1;1;S;33;1747;1;;2;2;;4;1;1;2;;1;1;1;2;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;1;1;2;2;2;2;5;1;4;0;12;  ;12;12;  ;12;0;12;  ;12;12;  ;12;0;3;0;4;1;0;0
TQRMNORVVHMMKPCDEIJAH00512385;2017;1;1;1;1;S;33;1747;1;;3;1;;2;1;1;2;;1;1;1;2;1;2;2;3;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;0;12;  ;12;12;  ;12;0;12;  ;12;12;  ;12;0;1;2;3;4;0;0
TQSMNORVWHMMKPCDEIJAH00512386;2017;1;1;1;1;S;33;1747;1;;2;1;;2;1;1;2;;1;1;1;2;2;2;2;2;1;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;0;1;0;0;  ;0;0;  ;0;0;0;  ;0;0;  ;0;1767;1;0;97;0;0;0
TQRMNORVXHMMKPCDEIJAH00512387;2017;1;1;1;1;S;33;1747;1;;1;1;;1;1;1;2;;1;1;1;2;1;1;2;1;1;2;0;1;2;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;12000;3;  ;3;3;  ;4;12000;8;  ;8;8;  ;9;1885;97;0;98;0;0;0
TQSMNORVXHMMKPCDEIJAH00512388;2017;1;1;1;1;S;33;1747;1;;2;1;;4;1;1;2;;1;1;1;2;1;1;2;2;2;2;0;1;1;2;2;0;2;0;2;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;13500;4;  ;4;4;  ;4;4500;3;  ;3;3;  ;4;2638;2;0;98;0;0;0
TQRMNORWVHLOKPCDEIJAH00505181;2017;1;1;1;1;S;33;2338;1;;3;1;;4;1;1;1;;1;1;1;2;2;1;2;3;2;2;0;1;1;2;2;0;2;0;1;;2;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;0;12;  ;12;12;  ;12;0;12;  ;12;12;  ;12;0;1;0;98;0;0;0
TQRMNOPRUHLLKNCDEIJAH00505108;2017;1;1;1;1;S;33;1392;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;6;2;4;30400;8;  ;8;8;  ;8;5066,67;4;  ;4;4;  ;4;2850;1;3;4;0;0;0
TQRMNOPVQHJOKNCDEIJAH00505568;2017;1;1;1;1;S;33;1745;1;;4;1;;4;1;1;2;;1;1;1;2;2;1;2;4;3;2;0;1;2;1;2;0;2;0;2;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;7;1;6;0;12;  ;12;12;  ;12;0;12;  ;12;12;  ;12;0;2;4;5;6;0;0
TQRMNORXRHJOKPCDEIJAH00512517;2017;1;1;1;1;S;33;1914;1;;3;1;;1;2;1;1;;1;1;1;3;2;1;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;0;12;  ;12;12;  ;12;0;12;  ;12;12;  ;12;0;2;0;98;0;0;0
TQRMNORVWHMMKPCDEIJAH00512518;2017;1;1;1;1;S;33;1747;1;;2;1;;4;1;1;2;;1;1;1;2;1;2;2;2;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;0;2;14300;4;  ;4;4;  ;4;7150;6;  ;5;6;  ;6;2313;2;0;98;0;0;0
